setting,accuracy,precision,recall,f1,roc_auc,loss
Centralized,0.5686274509803921,0.6053511705685619,0.7573221757322176,0.6728624535315985,0.520784333143522,0.6920368671417236
Federated (FedAvg),0.5759803921568627,0.6240601503759399,0.694560669456067,0.6574257425742575,0.5447253100938327,0.6931732892990112
Local-only Client 0,0.43137254901960786,0.5538461538461539,0.1506276150627615,0.23684210526315788,0.5140006437077567,0.7465386390686035
Local-only Client 1,0.5637254901960784,0.6040955631399317,0.7405857740585774,0.6654135338345865,0.527543264588646,0.6914678812026978
Local-only Client 2,0.5318627450980392,0.6016949152542372,0.5941422594142259,0.5978947368421053,0.5316778490257731,0.7123870849609375
